
Using Forward Euler method:

      i    xi          x                       y                       z                       
    102    1.020000    3.4996085777956765      1.5879301084091688      10.430895019943897      
    103    1.030000    3.404024654326351       1.6810762102735615      10.173539507628867      
    104    1.040000    3.3178772321237116      1.7777083446164612      9.925557571055728       
    105    1.050000    3.240868787748349       1.8773391754100623      9.68677302434365        
    106    1.060000    3.1726923071314346      1.97957841870065        9.457011932989376       
    107    1.070000    3.1130366127098954      2.0841218832425823      9.236107507203444       
    108    1.080000    3.06159087623653        2.1907411630686258      9.023903759266181       
    109    1.090000    3.0180483905781346      2.2992740483063088      8.820258178058664       
    110    1.100000    2.982109673464543       2.409615682033386       8.625043636126794       
    111    1.110000    2.9534849738929854      2.521710462064279       8.438149709390226       
    112    1.120000    2.93189624830155        2.6355446654265764      8.259483557690675       
    113    1.130000    2.9170786691578012      2.7511397583232458      8.08897048612791        
    114    1.140000    2.9087817236160736      2.8685463442335655      7.926554282592839       
    115    1.150000    2.9067699546469483      2.9878386963705768      7.772197405909577       
    116    1.160000    2.9108233917331297      3.109109817082909       7.625881081251705       
    117    1.170000    2.9207377130006185      3.232466965245063       7.487605344644474       
    118    1.180000    2.9363241756128406      3.3580275926585674      7.357389066019339       
    119    1.190000    2.957409346465127       3.485915631551772       7.235269970065742       
    120    1.200000    2.9838346607194595      3.6162580770891455      7.121304665661171       
    121    1.210000    3.0154558315379436      3.749181811138657       7.015568687616589       
    122    1.220000    3.0521421305179794      3.8848106162249114      6.9181565485470315      
    123    1.230000    3.093775554803326       4.023262331499538       6.829181793599256       
    124    1.240000    3.1402498936381367      4.1646461056185595      6.748777046308821       
    125    1.250000    3.1914697042371576      4.309059704596939       6.677094029821649       
    126    1.260000    3.247349204255147       4.456586836013017       6.6143035439367015      
    127    1.270000    3.3078110858430403      4.607294454387429       6.560595374774809       
    128    1.280000    3.37278525427026        4.761230016213599       6.516178110251223       
    129    1.290000    3.4422074923674266      4.918418657042624       6.481278830852428       
    130    1.300000    3.5160180506011867      5.078860267316385       6.456142641445574       
    131    1.310000    3.5941601614369465      5.242526448408436       6.441032005965862       
    132    1.320000    3.676578475785521       5.409357335697612       6.436225842848378       
    133    1.330000    3.7632174187811254      5.579258281602524       6.4420183350455105      
    134    1.340000    3.8540194619221952      5.7520963984943245      6.4587174044862         
    135    1.350000    3.9489233087508016      5.927696969434091       6.486642797018111       
    136    1.360000    4.047861991784966       6.105839743903669       6.526123720405665       
    137    1.370000    4.150760879390901       6.286255146260327       6.577495975066272       
    138    1.380000    4.2575355927343725      6.468620436673285       6.6410985152039546      
    139    1.390000    4.368089834931318       6.652555877889269       6.7172693771980905      
    140    1.400000    4.482313137079216       6.837620976371524       6.806340912947355       
    141    1.410000    4.600078529043832       7.0233108831397475      6.908634268846519       
    142    1.420000    4.721240146748627       7.209053057891716       7.024453056744434       
    143    1.430000    4.845630792305782       7.39420431947416        7.154076172211695       
    144    1.440000    4.973059468664201       7.578048426101786       7.297749728395788       
    145    1.450000    5.10330891653608        7.759794349325335       7.455678091338127       
    146    1.460000    5.236133188175543       7.938575425830394       7.628014025531966       
    147    1.470000    5.371255300058285       8.113449589668798       7.81484798730626        
    148    1.480000    5.508365014538811       8.283400903173897       8.016196638789715       
    149    1.490000    5.647116808970566       8.447342615998124       8.231990696990447       
    150    1.500000    5.787128099321944       8.6041219865714         8.462062280860097       
    151    1.510000    5.927977793684416       8.752527096707265       8.706131973619105       
    152    1.520000    6.0692052588355585      8.891295875803939       8.963795877089549       
    153    1.530000    6.210309789683977       9.019127523761234       9.234512997649784       
    154    1.540000    6.3507506763878405      9.134696479119082       9.517593367272516       
    155    1.550000    6.489947966524403       9.236669019083095       9.812187364687972       
    156    1.560000    6.627284019152337       9.323722499668719       10.117276756925905      
    157    1.570000    6.762105943178156       9.394567146671507       10.431668025428785      
    158    1.580000    6.893729003352823       9.447970192262884       10.753988568026857      
    159    1.590000    7.021441062798327       9.482782019955708       11.082686372358207      
    160    1.600000    7.144508110656196       9.497963836538446       11.416033731832288      
    161    1.610000    7.2621808969503086      9.49261623941354        11.752135516526002      
    162    1.620000    7.37370266407347        9.466007899733448       12.088942414189715      
    163    1.630000    7.4783179258564685      9.41760344585565        12.424269418448073      
    164    1.640000    7.575282201856427       9.347089519481939       12.755819662572131      
    165    1.650000    7.663872567737703       9.25439790075247        13.08121348145587       
    166    1.660000    7.743398834388441       9.139724570688196       13.398022339037256      
    167    1.670000    7.813215121203429       9.0035436104567         13.703806994739121      
    168    1.680000    7.872731545666093       8.846614934922556       13.996159015713296      
    169    1.690000    7.921425715128916       8.669985026605708       14.272744489947153      
    170    1.700000    7.958853680702756       8.474980073910324       14.53134857864411       
    171    1.710000    7.984660000363134       8.263191216523339       14.769919384836024      
    172    1.720000    7.998586561171145       8.036451947036827       14.986609527110202      
    173    1.730000    8.000479830464428       7.79680809104942        15.17981380672756       
    174    1.740000    7.9902962434936775      7.546481163584159       15.34820145127016       
    175    1.750000    7.9681054894982015      7.2878262503969085      15.490741608661878      
    176    1.760000    7.934091527543137       7.02328586143495        15.606721043924988      
    177    1.770000    7.8885512442377275      6.755341425988945       15.695753341094484      
    178    1.780000    7.831890753325288       6.486464226181054       15.757779310974007      
    179    1.790000    7.764619426968077       6.2190675863373945      15.793058723592813      
    180    1.800000    7.687341834936542       5.955462048621613       15.802153891870056      
    181    1.810000    7.600747845620796       5.697815077589517       15.785906000641413      
    182    1.820000    7.5056012072192315      5.448116564169163       15.745405377379512      
    183    1.830000    7.402726975066728       5.208151065810314       15.681957118669118      
    184    1.840000    7.292998179603908       4.979477351161333       15.597043608960009      
    185    1.850000    7.177322138181779       4.763415442809173       15.492285493265193      
    186    1.860000    7.056626803413149       4.561040996879991       15.36940259957755       
    187    1.870000    6.931847513086491       4.373186546053965       15.230176163090718      
    188    1.880000    6.803914464734865       4.2004488793651         15.07641350103327       
    189    1.890000    6.673741185466376       4.043201647880636       14.909916044889188      
    190    1.900000    6.542214208587089       3.901612173082087       14.732451377128578      
    191    1.910000    6.4101841068118395      3.7756613915549475      14.54572966176606       
    192    1.920000    6.2784579710489945      3.6651658876791626      14.351384618361564      
    193    1.930000    6.147793366880503       3.5698010343450175      14.150958979637878      
    194    1.940000    6.018893750253729       3.489124367521229       13.945894201449036      
    195    1.950000    5.892405281117104       3.422598450698313       13.73752406390088       
    196    1.960000    5.768914939596164       3.369612627604713       13.527071713844233      
    197    1.970000    5.648949823996592       3.329503205606235       13.315649648709313      
    198    1.980000    5.532977493077074       3.3015717494588657      13.104262124721087      
    199    1.990000    5.4214072058961635      3.285101289505837       12.893809482794804      
    200    2.000000    5.314591910076647       3.2793703561264227      12.685093916341218      
    201    2.010000    5.212830832379136       3.2836648413511296      12.478826250499129      
    202    2.020000    5.116372532827735       3.2972877587521463      12.2756333562661        
    203    2.030000    5.025418294123956       3.319567024902348       12.076065880795204      
    204    2.040000    4.940125730662875       3.3498614215977116      11.880606032926497      
    205    2.050000    4.860612515209617       3.387564919867272       11.6896752179686        
    206    2.060000    4.7869601354424995      3.432109556967334       11.503641365885462      
    207    2.070000    4.7192176065187414      3.4829670584807273      11.322825841205637      
    208    2.080000    4.657405079116841       3.5396493915701064      11.147509860622538      
    209    2.090000    4.601517294739504       3.601708424371377       10.977940375349776      
    210    2.100000    4.551526851221098       3.6687348521695693      10.814335400142822      
    211    2.110000    4.507387251268522       3.7403565347785226      10.656888790035142      
    212    2.120000    4.469035715444022       3.816236372556637       10.505774479934683      
    213    2.130000    4.4363957482996526      3.896069831575383       10.361150212011964      
    214    2.140000    4.409379452463439       3.9795822122251874      10.223160782010401      
    215    2.150000    4.387889590451526       4.066525740411298       10.091940838909837      
    216    2.160000    4.371821397949515       4.1566765467212345      9.967617273399082       
    217    2.170000    4.3610641553881         4.249831586675569       9.850311229910217       
    218    2.180000    4.355502526952474       4.345805544454608       9.74013977500378        
    219    2.190000    4.355017677827581       4.44442775330987        9.637217252058827       
    220    2.200000    4.359488181601695       4.545539158161723       9.541656348831982       
    221    2.210000    4.368790730429697       4.648989339566348       9.45356890075716        
    222    2.220000    4.382800660886529       4.754633613204115       9.373066449060085       
    223    2.230000    4.401392308502408       4.862330215189408       9.300260569010526       
    224    2.240000    4.424439203836758       4.971937580720845       9.235262980045546       
    225    2.250000    4.451814122680962       5.083311721777016       9.178185446155885       
    226    2.260000    4.483389002635764       5.196303708618994       9.129139471901174       
    227    2.270000    4.519034737934926       5.310757259697123       9.088235796759918       
    228    2.280000    4.558620864023036       5.426506445093053       9.055583688270234       
    229    2.290000    4.602015143076536       5.543373509781863       9.031290032615694       
    230    2.300000    4.649083061411803       5.661166824700804       9.015458219994677       
    231    2.310000    4.699687249576253       5.77967897579001        9.008186821320267       
    232    2.320000    4.753686835886941       5.898685003755289       9.009568052572302       
    233    2.330000    4.810936744280358       6.01794081021895        9.019686023509085       
    234    2.340000    4.871286947577287       6.137181749090103       9.038614768491678       
    235    2.350000    4.934581687652928       6.256121425309793       9.06641605892945        
    236    2.360000    5.000658674535771       6.37445072650465        9.103136999372236       
    237    2.370000    5.069348277134215       6.4918371163955815      9.148807412600032       
    238    2.380000    5.140472719097283       6.607924221917493       9.20343702323639        
    239    2.390000    5.213845294238293       6.722331748753997       9.267012454465588       
    240    2.400000    5.289269616964079       6.834655762198648       9.339494058377117       
    241    2.410000    5.366538924225807       6.944469371721739       9.420812607279862       
    242    2.420000    5.445435446600603       7.051323858130872       9.510865880975853       
    243    2.430000    5.525729867177117       7.1547502815310375      9.609515193371841       
    244    2.440000    5.607180887894813       7.2542616061741425      9.716581910799185       
    245    2.450000    5.68953492380878        7.349355374496957       9.831844023814497       
    246    2.460000    5.772525946343189       7.439516956950915       9.955032843806885       
    247    2.470000    5.855875496873575       7.524223396424205       10.085829905115272      
    248    2.480000    5.939292891851107       7.602947855988028       10.223864162163048      
    249    2.490000    6.022475640057952       7.67516466627156        10.368709578879999      
    250    2.500000    6.1051100913686325      7.740354953977839       10.51988321387414       
    251    2.510000    6.186872334499093       7.798012815999466       10.676843908860969      
